id,split,domain,image_rel,mask_rel,source_sha256
loveda_train_rural_0,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/0.png,loveda_m2a/Train/Rural/masks_png/0.png,b18f20c071fc810087e9adfaf1b8006d1bf8c38c2076d426566585e702c8e206
loveda_train_rural_1,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1.png,loveda_m2a/Train/Rural/masks_png/1.png,04e6baba2219333e0095694bf2ad78e01230d74059283bf2daf22a67264fe9dd
loveda_train_rural_10,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/10.png,loveda_m2a/Train/Rural/masks_png/10.png,49185f0daf262796c257dc720eadfcfd83010fcfd9450b6296ad356c83fd0fc4
loveda_train_rural_1002,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1002.png,loveda_m2a/Train/Rural/masks_png/1002.png,a8f53114e173c42ed80f89a4828b4b0bac119b057d694fae4fcd925e2d7d4c0b
loveda_train_rural_1003,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1003.png,loveda_m2a/Train/Rural/masks_png/1003.png,e92affa9db880b2a89520a7a9fffab06ba084fc956bd4b95d64050655e52b38d
loveda_train_rural_1004,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1004.png,loveda_m2a/Train/Rural/masks_png/1004.png,2af5c97c6cc45ec8de856137a348c6455ef639f4d0d47644389ff5faaf047250
loveda_train_rural_1005,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1005.png,loveda_m2a/Train/Rural/masks_png/1005.png,66e9863b216694a9ebc8967fdb815ff02f317d8125f0e864d1b4e7b7d9274b54
loveda_train_rural_1007,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1007.png,loveda_m2a/Train/Rural/masks_png/1007.png,c513c2d5c5240e2c34fab3f7185b045f41809f5278d8ce92190401f64c4dc0f0
loveda_train_rural_1008,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1008.png,loveda_m2a/Train/Rural/masks_png/1008.png,9ef2b8756a76e027518e4a7512f7e3b9fe373ade243e85f098a5a8a1f97d9fb2
loveda_train_rural_1009,probe_train,rural,processed/LoveDA/ssl_train_rgb/rural/1009.png,loveda_m2a/Train/Rural/masks_png/1009.png,fc3e3a0daefe9be6db969a779fd8d4535f1dc9c61fb8a8e5360c38ff26245ac8
